ID,Reason for Absence,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
11,26,07/07/2015,289,36,33,239.554,30,1,2,1,4
36,0,14/07/2015,118,13,50,239.554,31,1,1,0,0
3,23,15/07/2015,179,51,38,239.554,31,1,0,0,2
7,7,16/07/2015,279,5,39,239.554,24,1,2,0,4
11,23,23/07/2015,289,36,33,239.554,30,1,2,1,2
3,23,10/07/2015,179,51,38,239.554,31,1,0,0,2
10,22,17/07/2015,361,52,28,239.554,27,1,1,4,8
20,23,24/07/2015,260,50,36,239.554,23,1,4,0,4
14,19,06/07/2015,155,12,34,239.554,25,1,2,0,40
1,22,13/07/2015,235,11,37,239.554,29,3,1,1,8
20,1,20/07/2015,260,50,36,239.554,23,1,4,0,8
20,1,14/07/2015,260,50,36,239.554,23,1,4,0,8
20,11,15/07/2015,260,50,36,239.554,23,1,4,0,8
3,11,15/07/2015,179,51,38,239.554,31,1,0,0,1
3,23,15/07/2015,179,51,38,239.554,31,1,0,0,4
24,14,17/07/2015,246,25,41,239.554,23,1,0,0,8
3,23,17/07/2015,179,51,38,239.554,31,1,0,0,2
3,21,27/07/2015,179,51,38,239.554,31,1,0,0,8
6,11,30/07/2015,189,29,33,239.554,25,1,2,2,8
33,23,05/08/2015,248,25,47,205.917,32,1,2,1,2
18,10,12/08/2015,330,16,28,205.917,25,2,0,0,8
3,11,03/08/2015,179,51,38,205.917,31,1,0,0,1
10,13,10/08/2015,361,52,28,205.917,27,1,1,4,40
20,28,14/08/2015,260,50,36,205.917,23,1,4,0,4
11,18,17/08/2015,289,36,33,205.917,30,1,2,1,8
10,25,24/08/2015,361,52,28,205.917,27,1,1,4,7
11,23,04/08/2015,289,36,33,205.917,30,1,2,1,1
30,28,12/08/2015,157,27,29,205.917,22,1,0,0,4
11,18,19/08/2015,289,36,33,205.917,30,1,2,1,8
3,23,28/08/2015,179,51,38,205.917,31,1,0,0,2
3,18,17/08/2015,179,51,38,205.917,31,1,0,0,8
2,18,27/08/2015,235,29,48,205.917,33,1,1,5,8
1,23,27/08/2015,235,11,37,205.917,29,3,1,1,4
2,18,17/08/2015,235,29,48,205.917,33,1,1,5,8
3,23,17/08/2015,179,51,38,205.917,31,1,0,0,2
10,23,17/08/2015,361,52,28,205.917,27,1,1,4,1
11,24,04/08/2015,289,36,33,205.917,30,1,2,1,8
19,11,20/08/2015,291,50,32,205.917,23,1,0,0,4
2,28,21/08/2015,235,29,48,205.917,33,1,1,5,8
20,23,28/08/2015,260,50,36,205.917,23,1,4,0,4
27,23,01/09/2015,184,42,27,241.476,21,1,0,0,2
34,23,07/09/2015,118,10,37,241.476,28,1,0,0,4
3,23,01/09/2015,179,51,38,241.476,31,1,0,0,4
5,19,08/09/2015,235,20,43,241.476,38,1,1,0,8
14,23,09/09/2015,155,12,34,241.476,25,1,2,0,2
34,23,13/09/2015,118,10,37,241.476,28,1,0,0,3
3,23,14/09/2015,179,51,38,241.476,31,1,0,0,3
15,23,24/09/2015,291,31,40,241.476,25,1,1,1,4
20,22,04/09/2015,260,50,36,241.476,23,1,4,0,8
15,14,14/09/2015,291,31,40,241.476,25,1,1,1,32
20,0,21/09/2015,260,50,36,241.476,23,1,4,0,0
29,0,28/09/2015,225,26,28,241.476,24,1,1,2,0
28,23,08/09/2015,225,26,28,241.476,24,1,1,2,2
34,23,15/09/2015,118,10,37,241.476,28,1,0,0,2
11,0,22/09/2015,289,36,33,241.476,30,1,2,1,0
36,0,29/09/2015,118,13,50,241.476,31,1,1,0,0
28,18,16/09/2015,225,26,28,241.476,24,1,1,2,3
3,23,23/09/2015,179,51,38,241.476,31,1,0,0,3
13,0,30/09/2015,369,17,31,241.476,25,1,3,0,0
33,23,11/09/2015,248,25,47,241.476,32,1,2,1,1
3,23,18/09/2015,179,51,38,241.476,31,1,0,0,3
20,23,25/09/2015,260,50,36,241.476,23,1,4,0,4
3,23,06/10/2015,179,51,38,253.465,31,1,0,0,3
34,23,13/10/2015,118,10,37,253.465,28,1,0,0,3
36,0,14/10/2015,118,13,50,253.465,31,1,1,0,0
22,23,15/10/2015,179,26,30,253.465,19,3,0,0,1
3,23,16/10/2015,179,51,38,253.465,31,1,0,0,3
28,23,16/10/2015,225,26,28,253.465,24,1,1,2,3
34,23,06/10/2015,118,10,37,253.465,28,1,0,0,3
28,23,14/10/2015,225,26,28,253.465,24,1,1,2,2
33,23,21/10/2015,248,25,47,253.465,32,1,2,1,2
15,23,22/10/2015,291,31,40,253.465,25,1,1,1,5
3,23,21/10/2015,179,51,38,253.465,31,1,0,0,8
28,23,21/10/2015,225,26,28,253.465,24,1,1,2,3
20,19,22/10/2015,260,50,36,253.465,23,1,4,0,16
15,14,13/10/2015,291,31,40,253.465,25,1,1,1,8
28,28,20/10/2015,225,26,28,253.465,24,1,1,2,2
11,26,21/10/2015,289,36,33,253.465,30,1,2,1,8
10,23,23/10/2015,361,52,28,253.465,27,1,1,4,1
20,28,30/10/2015,260,50,36,253.465,23,1,4,0,3
3,23,05/11/2015,179,51,38,306.345,31,1,0,0,1
28,23,04/11/2015,225,26,28,306.345,24,1,1,2,1
3,13,05/11/2015,179,51,38,306.345,31,1,0,0,8
17,21,12/11/2015,179,22,40,306.345,22,2,2,0,8
15,23,19/11/2015,291,31,40,306.345,25,1,1,1,5
14,10,02/11/2015,155,12,34,306.345,25,1,2,0,32
6,22,09/11/2015,189,29,33,306.345,25,1,2,2,8
15,14,16/11/2015,291,31,40,306.345,25,1,1,1,40
28,23,18/11/2015,225,26,28,306.345,24,1,1,2,1
14,6,20/11/2015,155,12,34,306.345,25,1,2,0,8
28,23,18/11/2015,225,26,28,306.345,24,1,1,2,3
17,21,25/11/2015,179,22,40,306.345,22,2,2,0,8
28,13,20/11/2015,225,26,28,306.345,24,1,1,2,3
20,28,27/11/2015,260,50,36,306.345,23,1,4,0,4
33,28,02/11/2015,248,25,47,306.345,32,1,2,1,1
28,28,10/11/2015,225,26,28,306.345,24,1,1,2,3
11,7,11/11/2015,289,36,33,306.345,30,1,2,1,24
15,23,26/11/2015,291,31,40,306.345,25,1,1,1,3
33,23,01/12/2015,248,25,47,261.306,32,1,2,1,1
34,19,01/12/2015,118,10,37,261.306,28,1,0,0,64
36,23,02/12/2015,118,13,50,261.306,31,1,1,0,2
1,26,02/12/2015,235,11,37,261.306,29,3,1,1,8
28,23,03/12/2015,225,26,28,261.306,24,1,1,2,2
20,26,04/12/2015,260,50,36,261.306,23,1,4,0,8
34,19,08/12/2015,118,10,37,261.306,28,1,0,0,56
10,22,09/12/2015,361,52,28,261.306,27,1,1,4,8
28,28,10/12/2015,225,26,28,261.306,24,1,1,2,3
20,28,11/12/2015,260,50,36,261.306,23,1,4,0,3
28,23,15/12/2015,225,26,28,261.306,24,1,1,2,2
10,22,16/12/2015,361,52,28,261.306,27,1,1,4,8
34,27,11/12/2015,118,10,37,261.306,28,1,0,0,2
24,19,18/12/2015,246,25,41,261.306,23,1,0,0,8
28,23,18/12/2015,225,26,28,261.306,24,1,1,2,2
28,23,06/01/2016,225,26,28,308.593,24,1,1,2,1
34,19,04/01/2016,118,10,37,308.593,28,1,0,0,1
34,27,05/01/2016,118,10,37,308.593,28,1,0,0,1
14,18,05/01/2016,155,12,34,308.593,25,1,2,0,8
28,27,06/01/2016,225,26,28,308.593,24,1,1,2,2
27,23,07/01/2016,184,42,27,308.593,21,1,0,0,2
28,28,07/01/2016,225,26,28,308.593,24,1,1,2,2
28,27,08/01/2016,225,26,28,308.593,24,1,1,2,1
34,27,11/01/2016,118,10,37,308.593,28,1,0,0,2
28,27,12/01/2016,225,26,28,308.593,24,1,1,2,2
34,27,12/01/2016,118,10,37,308.593,28,1,0,0,2
34,27,13/01/2016,118,10,37,308.593,28,1,0,0,2
34,27,14/01/2016,118,10,37,308.593,28,1,0,0,2
34,27,15/01/2016,118,10,37,308.593,28,1,0,0,2
34,27,11/01/2016,118,10,37,308.593,28,1,0,0,2
34,27,12/01/2016,118,10,37,308.593,28,1,0,0,2
22,18,12/01/2016,179,26,30,308.593,19,3,0,0,8
11,18,12/01/2016,289,36,33,308.593,30,1,2,1,8
34,27,13/01/2016,118,10,37,308.593,28,1,0,0,2
27,23,21/01/2016,184,42,27,308.593,21,1,0,0,2
34,27,28/01/2016,118,10,37,308.593,28,1,0,0,2
34,27,25/01/2016,118,10,37,308.593,28,1,0,0,0
28,23,26/01/2016,225,26,28,308.593,24,1,1,2,1
11,22,28/01/2016,289,36,33,308.593,30,1,2,1,3
27,23,05/02/2016,184,42,27,302.585,21,1,0,0,1
24,1,03/02/2016,246,25,41,302.585,23,1,0,0,8
3,11,10/02/2016,179,51,38,302.585,31,1,0,0,8
14,28,11/02/2016,155,12,34,302.585,25,1,2,0,2
6,23,11/02/2016,189,29,33,302.585,25,1,2,2,8
20,28,12/02/2016,260,50,36,302.585,23,1,4,0,2
11,22,12/02/2016,289,36,33,302.585,30,1,2,1,8
31,11,08/02/2016,388,15,50,302.585,24,1,0,0,8
31,1,09/02/2016,388,15,50,302.585,24,1,0,0,8
28,28,15/02/2016,225,26,28,302.585,24,1,1,2,2
28,23,09/02/2016,225,26,28,302.585,24,1,1,2,2
22,23,16/02/2016,179,26,30,302.585,19,3,0,0,1
27,23,23/02/2016,184,42,27,302.585,21,1,0,0,8
28,25,25/02/2016,225,26,28,302.585,24,1,1,2,3
18,18,15/02/2016,330,16,28,302.585,25,2,0,0,8
18,23,16/02/2016,330,16,28,302.585,25,2,0,0,1
28,23,17/02/2016,225,26,28,302.585,24,1,1,2,1
6,19,25/02/2016,189,29,33,302.585,25,1,2,2,8
19,28,01/03/2016,291,50,32,343.253,23,1,0,0,2
20,19,01/03/2016,260,50,36,343.253,23,1,4,0,8
30,19,08/03/2016,157,27,29,343.253,22,1,0,0,3
17,17,15/03/2016,179,22,40,343.253,22,2,2,0,8
15,22,16/03/2016,291,31,40,343.253,25,1,1,1,8
20,13,02/03/2016,260,50,36,343.253,23,1,4,0,8
22,13,03/03/2016,179,26,30,343.253,19,3,0,0,8
33,14,04/03/2016,248,25,47,343.253,32,1,2,1,3
20,13,04/03/2016,260,50,36,343.253,23,1,4,0,40
17,11,07/03/2016,179,22,40,343.253,22,2,2,0,40
14,1,14/03/2016,155,12,34,343.253,25,1,2,0,16
20,26,21/03/2016,260,50,36,343.253,23,1,4,0,16
14,13,22/03/2016,155,12,34,343.253,25,1,2,0,8
11,6,24/03/2016,289,36,33,343.253,30,1,2,1,8
17,8,24/03/2016,179,22,40,343.253,22,2,2,0,8
20,28,25/03/2016,260,50,36,343.253,23,1,4,0,4
28,23,25/03/2016,225,26,28,343.253,24,1,1,2,1
7,14,28/03/2016,279,5,39,343.253,24,1,2,0,8
3,13,29/03/2016,179,51,38,343.253,31,1,0,0,24
28,23,30/03/2016,225,26,28,343.253,24,1,1,2,2
28,11,28/03/2016,225,26,28,343.253,24,1,1,2,8
22,13,28/03/2016,179,26,30,343.253,19,3,0,0,1
28,11,29/03/2016,225,26,28,343.253,24,1,1,2,8
28,11,30/03/2016,225,26,28,343.253,24,1,1,2,16
3,13,30/03/2016,179,51,38,343.253,31,1,0,0,3
7,14,17/03/2016,279,5,39,343.253,24,1,2,0,16
28,28,18/03/2016,225,26,28,343.253,24,1,1,2,2
33,14,25/03/2016,248,25,47,343.253,32,1,2,1,3
28,28,28/03/2016,225,26,28,343.253,24,1,1,2,1
15,28,06/04/2016,291,31,40,326.452,25,1,1,1,1
28,23,13/04/2016,225,26,28,326.452,24,1,1,2,1
14,28,12/04/2016,155,12,34,326.452,25,1,2,0,1
24,13,13/04/2016,246,25,41,326.452,23,1,0,0,24
14,23,14/04/2016,155,12,34,326.452,25,1,2,0,1
28,28,15/04/2016,225,26,28,326.452,24,1,1,2,2
20,28,15/04/2016,260,50,36,326.452,23,1,4,0,4
3,13,06/04/2016,179,51,38,326.452,31,1,0,0,24
36,23,07/04/2016,118,13,50,326.452,31,1,1,0,1
15,23,08/04/2016,291,31,40,326.452,25,1,1,1,3
24,14,08/04/2016,246,25,41,326.452,23,1,0,0,8
15,28,22/04/2016,291,31,40,326.452,25,1,1,1,1
33,28,29/04/2016,248,25,47,326.452,32,1,2,1,8
20,19,29/04/2016,260,50,36,326.452,23,1,4,0,56
11,19,26/04/2016,289,36,33,326.452,30,1,2,1,8
14,12,27/04/2016,155,12,34,326.452,25,1,2,0,24
23,19,27/04/2016,378,49,36,326.452,21,1,2,4,8
11,13,28/04/2016,289,36,33,326.452,30,1,2,1,16
1,7,08/04/2016,235,11,37,326.452,29,3,1,1,3
2,0,04/04/2016,235,29,48,326.452,33,1,1,5,0
11,13,04/05/2016,289,36,33,378.884,30,1,2,1,8
14,28,05/05/2016,155,12,34,378.884,25,1,2,0,2
14,28,02/05/2016,155,12,34,378.884,25,1,2,0,1
3,18,03/05/2016,179,51,38,378.884,31,1,0,0,8
28,19,03/05/2016,225,26,28,378.884,24,1,1,2,8
27,7,11/05/2016,184,42,27,378.884,21,1,0,0,4
14,28,09/05/2016,155,12,34,378.884,25,1,2,0,2
3,12,10/05/2016,179,51,38,378.884,31,1,0,0,1
11,13,04/05/2016,289,36,33,378.884,30,1,2,1,24
7,0,11/05/2016,279,5,39,378.884,24,1,2,0,0
18,0,18/05/2016,330,16,28,378.884,25,2,0,0,0
23,0,25/05/2016,378,49,36,378.884,21,1,2,4,0
31,0,25/05/2016,388,15,50,378.884,24,1,0,0,0
3,11,24/05/2016,179,51,38,378.884,31,1,0,0,1
36,13,11/05/2016,118,13,50,378.884,31,1,1,0,24
10,22,27/05/2016,361,52,28,378.884,27,1,1,4,8
24,19,06/06/2016,246,25,41,377.55,23,1,0,0,8
10,22,13/06/2016,361,52,28,377.55,27,1,1,4,8
24,10,14/06/2016,246,25,41,377.55,23,1,0,0,24
15,23,16/06/2016,291,31,40,377.55,25,1,1,1,4
24,10,17/06/2016,246,25,41,377.55,23,1,0,0,8
3,11,13/06/2016,179,51,38,377.55,31,1,0,0,8
14,23,20/06/2016,155,12,34,377.55,25,1,2,0,4
24,10,27/06/2016,246,25,41,377.55,23,1,0,0,8
36,13,29/06/2016,118,13,50,377.55,31,1,1,0,8
1,13,03/06/2016,235,11,37,377.55,29,3,1,1,16
36,23,07/06/2016,118,13,50,377.55,31,1,1,0,1
36,13,08/06/2016,118,13,50,377.55,31,1,1,0,80
23,22,09/06/2016,378,49,36,377.55,21,1,2,4,8
3,11,10/06/2016,179,51,38,377.55,31,1,0,0,2
32,28,20/06/2016,289,48,49,377.55,36,1,0,2,2
28,28,30/06/2016,225,26,28,377.55,24,1,1,2,2
14,19,05/07/2016,155,12,34,275.312,25,1,2,0,16
36,1,06/07/2016,118,13,50,275.312,31,1,1,0,8
34,5,08/07/2016,118,10,37,275.312,28,1,0,0,8
34,26,08/07/2016,118,10,37,275.312,28,1,0,0,4
18,26,12/07/2016,330,16,28,275.312,25,2,0,0,8
22,18,14/07/2016,179,26,30,275.312,19,3,0,0,8
14,25,15/07/2016,155,12,34,275.312,25,1,2,0,2
18,1,18/07/2016,330,16,28,275.312,25,2,0,0,8
18,1,19/07/2016,330,16,28,275.312,25,2,0,0,8
30,25,18/07/2016,157,27,29,275.312,22,1,0,0,3
10,22,19/07/2016,361,52,28,275.312,27,1,1,4,8
11,26,20/07/2016,289,36,33,275.312,30,1,2,1,8
3,26,21/07/2016,179,51,38,275.312,31,1,0,0,8
11,19,11/07/2016,289,36,33,275.312,30,1,2,1,32
11,19,14/07/2016,289,36,33,275.312,30,1,2,1,8
20,0,21/07/2016,260,50,36,275.312,23,1,4,0,0
11,19,04/08/2016,289,36,33,265.615,30,1,2,1,8
30,19,11/08/2016,157,27,29,265.615,22,1,0,0,3
11,23,07/08/2016,289,36,33,265.615,30,1,2,1,1
9,18,08/08/2016,228,14,58,265.615,22,1,2,1,8
26,13,10/08/2016,300,26,43,265.615,25,1,2,1,1
26,14,10/08/2016,300,26,43,265.615,25,1,2,1,2
20,28,11/08/2016,260,50,36,265.615,23,1,4,0,4
11,23,08/08/2016,289,36,33,265.615,30,1,2,1,4
33,23,09/08/2016,248,25,47,265.615,32,1,2,1,1
21,11,10/08/2016,268,11,33,265.615,25,2,0,0,8
22,23,10/08/2016,179,26,30,265.615,19,3,0,0,1
36,13,10/08/2016,118,13,50,265.615,31,1,1,0,3
33,25,14/08/2016,248,25,47,265.615,32,1,2,1,2
1,23,15/08/2016,235,11,37,265.615,29,3,1,1,1
36,23,17/08/2016,118,13,50,265.615,31,1,1,0,1
1,19,24/08/2016,235,11,37,265.615,29,3,1,1,8
10,8,08/08/2016,361,52,28,265.615,27,1,1,4,8
27,6,30/08/2016,184,42,27,265.615,21,1,0,0,8
3,11,05/09/2016,179,51,38,294.217,31,1,0,0,8
3,23,09/09/2016,179,51,38,294.217,31,1,0,0,3
11,19,07/09/2016,289,36,33,294.217,30,1,2,1,24
5,0,08/09/2016,235,20,43,294.217,38,1,1,0,0
24,9,12/09/2016,246,25,41,294.217,23,1,0,0,16
15,28,13/09/2016,291,31,40,294.217,25,1,1,1,3
8,0,13/09/2016,231,35,39,294.217,35,1,2,2,0
19,0,13/09/2016,291,50,32,294.217,23,1,0,0,0
3,13,14/09/2016,179,51,38,294.217,31,1,0,0,8
24,9,14/09/2016,246,25,41,294.217,23,1,0,0,32
3,23,15/09/2016,179,51,38,294.217,31,1,0,0,1
15,28,16/09/2016,291,31,40,294.217,25,1,1,1,4
20,28,16/09/2016,260,50,36,294.217,23,1,4,0,4
5,26,14/09/2016,235,20,43,294.217,38,1,1,0,8
36,28,15/09/2016,118,13,50,294.217,31,1,1,0,1
5,0,15/09/2016,235,20,43,294.217,38,1,1,0,0
15,28,16/09/2016,291,31,40,294.217,25,1,1,1,3
15,7,26/09/2016,291,31,40,294.217,25,1,1,1,40
3,13,26/09/2016,179,51,38,294.217,31,1,0,0,8
11,24,05/10/2016,289,36,33,265.017,30,1,2,1,8
1,26,05/10/2016,235,11,37,265.017,29,3,1,1,4
11,26,05/10/2016,289,36,33,265.017,30,1,2,1,8
11,22,06/10/2016,289,36,33,265.017,30,1,2,1,8
36,0,06/10/2016,118,13,50,265.017,31,1,1,0,0
33,0,06/10/2016,248,25,47,265.017,32,1,2,1,0
22,1,12/10/2016,179,26,30,265.017,19,3,0,0,8
34,7,12/10/2016,118,10,37,265.017,28,1,0,0,3
13,22,12/10/2016,369,17,31,265.017,25,1,3,0,8
3,28,14/10/2016,179,51,38,265.017,31,1,0,0,1
22,1,14/10/2016,179,26,30,265.017,19,3,0,0,64
5,0,14/10/2016,235,20,43,265.017,38,1,1,0,0
11,19,15/10/2016,289,36,33,265.017,30,1,2,1,16
20,28,16/10/2016,260,50,36,265.017,23,1,4,0,3
5,0,16/10/2016,235,20,43,265.017,38,1,1,0,0
5,23,19/10/2016,235,20,43,265.017,38,1,1,0,2
5,23,19/10/2016,235,20,43,265.017,38,1,1,0,2
36,28,20/10/2016,118,13,50,265.017,31,1,1,0,1
15,28,20/10/2016,291,31,40,265.017,25,1,1,1,4
22,23,22/10/2016,179,26,30,265.017,19,3,0,0,16
36,28,22/10/2016,118,13,50,265.017,31,1,1,0,1
10,10,26/10/2016,361,52,28,265.017,27,1,1,4,8
20,0,27/10/2016,260,50,36,265.017,23,1,4,0,0
15,0,27/10/2016,291,31,40,265.017,25,1,1,1,0
30,0,27/10/2016,157,27,29,265.017,22,1,0,0,0
22,1,28/10/2016,179,26,30,265.017,19,3,0,0,5
22,7,28/10/2016,179,26,30,265.017,19,3,0,0,5
36,23,29/10/2016,118,13,50,265.017,31,1,1,0,1
34,11,07/11/2016,118,10,37,284.031,28,1,0,0,8
33,23,07/11/2016,248,25,47,284.031,32,1,2,1,2
3,6,08/11/2016,179,51,38,284.031,31,1,0,0,8
20,28,11/11/2016,260,50,36,284.031,23,1,4,0,3
15,23,14/11/2016,291,31,40,284.031,25,1,1,1,1
23,1,14/11/2016,378,49,36,284.031,21,1,2,4,8
14,11,14/11/2016,155,12,34,284.031,25,1,2,0,120
5,26,14/11/2016,235,20,43,284.031,38,1,1,0,8
18,0,15/11/2016,330,16,28,284.031,25,2,0,0,0
1,18,16/11/2016,235,11,37,284.031,29,3,1,1,1
34,11,16/11/2016,118,10,37,284.031,28,1,0,0,3
1,25,17/11/2016,235,11,37,284.031,29,3,1,1,2
3,28,17/11/2016,179,51,38,284.031,31,1,0,0,3
24,13,18/11/2016,246,25,41,284.031,23,1,0,0,8
15,12,18/11/2016,291,31,40,284.031,25,1,1,1,4
24,13,21/11/2016,246,25,41,284.031,23,1,0,0,8
3,28,22/11/2016,179,51,38,284.031,31,1,0,0,1
20,10,23/11/2016,260,50,36,284.031,23,1,4,0,8
20,15,25/11/2016,260,50,36,284.031,23,1,4,0,8
23,0,25/11/2016,378,49,36,284.031,21,1,2,4,0
7,0,29/11/2016,279,5,39,284.031,24,1,2,0,0
3,23,24/11/2016,179,51,38,284.031,31,1,0,0,1
28,12,05/12/2016,225,26,28,236.629,24,1,1,2,3
3,28,05/12/2016,179,51,38,236.629,31,1,0,0,2
3,28,05/12/2016,179,51,38,236.629,31,1,0,0,1
1,23,05/12/2016,235,11,37,236.629,29,3,1,1,3
36,28,06/12/2016,118,13,50,236.629,31,1,1,0,1
20,28,09/12/2016,260,50,36,236.629,23,1,4,0,4
24,4,15/12/2016,246,25,41,236.629,23,1,0,0,8
3,28,15/12/2016,179,51,38,236.629,31,1,0,0,1
3,28,16/12/2016,179,51,38,236.629,31,1,0,0,1
