Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,7,1,289,36,33,239.554,30,0,2,1,4
0,0,0,0,7,1,118,13,50,239.554,31,0,1,0,0
0,0,0,1,7,2,179,51,38,239.554,31,0,0,0,2
1,0,0,0,7,3,279,5,39,239.554,24,0,2,0,4
0,0,0,1,7,3,289,36,33,239.554,30,0,2,1,2
0,0,0,1,7,4,179,51,38,239.554,31,0,0,0,2
0,0,0,1,7,4,361,52,28,239.554,27,0,1,4,8
0,0,0,1,7,4,260,50,36,239.554,23,0,4,0,4
0,0,1,0,7,0,155,12,34,239.554,25,0,2,0,40
0,0,0,1,7,0,235,11,37,239.554,29,1,1,1,8
1,0,0,0,7,0,260,50,36,239.554,23,0,4,0,8
1,0,0,0,7,1,260,50,36,239.554,23,0,4,0,8
1,0,0,0,7,2,260,50,36,239.554,23,0,4,0,8
1,0,0,0,7,2,179,51,38,239.554,31,0,0,0,1
0,0,0,1,7,2,179,51,38,239.554,31,0,0,0,4
1,0,0,0,7,4,246,25,41,239.554,23,0,0,0,8
0,0,0,1,7,4,179,51,38,239.554,31,0,0,0,2
0,0,1,0,7,0,179,51,38,239.554,31,0,0,0,8
1,0,0,0,7,3,189,29,33,239.554,25,0,2,2,8
0,0,0,1,8,2,248,25,47,205.917,32,0,2,1,2
1,0,0,0,8,2,330,16,28,205.917,25,1,0,0,8
1,0,0,0,8,0,179,51,38,205.917,31,0,0,0,1
1,0,0,0,8,0,361,52,28,205.917,27,0,1,4,40
0,0,0,1,8,4,260,50,36,205.917,23,0,4,0,4
0,0,1,0,8,0,289,36,33,205.917,30,0,2,1,8
0,0,0,1,8,0,361,52,28,205.917,27,0,1,4,7
0,0,0,1,8,1,289,36,33,205.917,30,0,2,1,1
0,0,0,1,8,2,157,27,29,205.917,22,0,0,0,4
0,0,1,0,8,2,289,36,33,205.917,30,0,2,1,8
0,0,0,1,8,4,179,51,38,205.917,31,0,0,0,2
0,0,1,0,8,0,179,51,38,205.917,31,0,0,0,8
0,0,1,0,8,3,235,29,48,205.917,33,0,1,5,8
0,0,0,1,8,3,235,11,37,205.917,29,1,1,1,4
0,0,1,0,8,0,235,29,48,205.917,33,0,1,5,8
0,0,0,1,8,0,179,51,38,205.917,31,0,0,0,2
0,0,0,1,8,0,361,52,28,205.917,27,0,1,4,1
0,0,0,1,8,1,289,36,33,205.917,30,0,2,1,8
1,0,0,0,8,3,291,50,32,205.917,23,0,0,0,4
0,0,0,1,8,4,235,29,48,205.917,33,0,1,5,8
0,0,0,1,8,4,260,50,36,205.917,23,0,4,0,4
0,0,0,1,9,1,184,42,27,241.476,21,0,0,0,2
0,0,0,1,9,0,118,10,37,241.476,28,0,0,0,4
0,0,0,1,9,1,179,51,38,241.476,31,0,0,0,4
0,0,1,0,9,1,235,20,43,241.476,38,0,1,0,8
0,0,0,1,9,2,155,12,34,241.476,25,0,2,0,2
0,0,0,1,9,6,118,10,37,241.476,28,0,0,0,3
0,0,0,1,9,0,179,51,38,241.476,31,0,0,0,3
0,0,0,1,9,3,291,31,40,241.476,25,0,1,1,4
0,0,0,1,9,4,260,50,36,241.476,23,0,4,0,8
1,0,0,0,9,0,291,31,40,241.476,25,0,1,1,32
0,0,0,0,9,0,260,50,36,241.476,23,0,4,0,0
0,0,0,0,9,0,225,26,28,241.476,24,0,1,2,0
0,0,0,1,9,1,225,26,28,241.476,24,0,1,2,2
0,0,0,1,9,1,118,10,37,241.476,28,0,0,0,2
0,0,0,0,9,1,289,36,33,241.476,30,0,2,1,0
0,0,0,0,9,1,118,13,50,241.476,31,0,1,0,0
0,0,1,0,9,2,225,26,28,241.476,24,0,1,2,3
0,0,0,1,9,2,179,51,38,241.476,31,0,0,0,3
0,0,0,0,9,2,369,17,31,241.476,25,0,3,0,0
0,0,0,1,9,4,248,25,47,241.476,32,0,2,1,1
0,0,0,1,9,4,179,51,38,241.476,31,0,0,0,3
0,0,0,1,9,4,260,50,36,241.476,23,0,4,0,4
0,0,0,1,10,1,179,51,38,253.465,31,0,0,0,3
0,0,0,1,10,1,118,10,37,253.465,28,0,0,0,3
0,0,0,0,10,2,118,13,50,253.465,31,0,1,0,0
0,0,0,1,10,3,179,26,30,253.465,19,1,0,0,1
0,0,0,1,10,4,179,51,38,253.465,31,0,0,0,3
0,0,0,1,10,4,225,26,28,253.465,24,0,1,2,3
0,0,0,1,10,1,118,10,37,253.465,28,0,0,0,3
0,0,0,1,10,2,225,26,28,253.465,24,0,1,2,2
0,0,0,1,10,2,248,25,47,253.465,32,0,2,1,2
0,0,0,1,10,3,291,31,40,253.465,25,0,1,1,5
0,0,0,1,10,2,179,51,38,253.465,31,0,0,0,8
0,0,0,1,10,2,225,26,28,253.465,24,0,1,2,3
0,0,1,0,10,3,260,50,36,253.465,23,0,4,0,16
1,0,0,0,10,1,291,31,40,253.465,25,0,1,1,8
0,0,0,1,10,1,225,26,28,253.465,24,0,1,2,2
0,0,0,1,10,2,289,36,33,253.465,30,0,2,1,8
0,0,0,1,10,4,361,52,28,253.465,27,0,1,4,1
0,0,0,1,10,4,260,50,36,253.465,23,0,4,0,3
0,0,0,1,11,3,179,51,38,306.345,31,0,0,0,1
0,0,0,1,11,2,225,26,28,306.345,24,0,1,2,1
1,0,0,0,11,3,179,51,38,306.345,31,0,0,0,8
0,0,1,0,11,3,179,22,40,306.345,22,1,2,0,8
0,0,0,1,11,3,291,31,40,306.345,25,0,1,1,5
1,0,0,0,11,0,155,12,34,306.345,25,0,2,0,32
0,0,0,1,11,0,189,29,33,306.345,25,0,2,2,8
1,0,0,0,11,0,291,31,40,306.345,25,0,1,1,40
0,0,0,1,11,2,225,26,28,306.345,24,0,1,2,1
1,0,0,0,11,4,155,12,34,306.345,25,0,2,0,8
0,0,0,1,11,2,225,26,28,306.345,24,0,1,2,3
0,0,1,0,11,2,179,22,40,306.345,22,1,2,0,8
1,0,0,0,11,4,225,26,28,306.345,24,0,1,2,3
0,0,0,1,11,4,260,50,36,306.345,23,0,4,0,4
0,0,0,1,11,0,248,25,47,306.345,32,0,2,1,1
0,0,0,1,11,1,225,26,28,306.345,24,0,1,2,3
1,0,0,0,11,2,289,36,33,306.345,30,0,2,1,24
0,0,0,1,11,3,291,31,40,306.345,25,0,1,1,3
0,0,0,1,12,1,248,25,47,261.306,32,0,2,1,1
0,0,1,0,12,1,118,10,37,261.306,28,0,0,0,64
0,0,0,1,12,2,118,13,50,261.306,31,0,1,0,2
0,0,0,1,12,2,235,11,37,261.306,29,1,1,1,8
0,0,0,1,12,3,225,26,28,261.306,24,0,1,2,2
0,0,0,1,12,4,260,50,36,261.306,23,0,4,0,8
0,0,1,0,12,1,118,10,37,261.306,28,0,0,0,56
0,0,0,1,12,2,361,52,28,261.306,27,0,1,4,8
0,0,0,1,12,3,225,26,28,261.306,24,0,1,2,3
0,0,0,1,12,4,260,50,36,261.306,23,0,4,0,3
0,0,0,1,12,1,225,26,28,261.306,24,0,1,2,2
0,0,0,1,12,2,361,52,28,261.306,27,0,1,4,8
0,0,0,1,12,4,118,10,37,261.306,28,0,0,0,2
0,0,1,0,12,4,246,25,41,261.306,23,0,0,0,8
0,0,0,1,12,4,225,26,28,261.306,24,0,1,2,2
0,0,0,1,1,2,225,26,28,308.593,24,0,1,2,1
0,0,1,0,1,0,118,10,37,308.593,28,0,0,0,1
0,0,0,1,1,1,118,10,37,308.593,28,0,0,0,1
0,0,1,0,1,1,155,12,34,308.593,25,0,2,0,8
0,0,0,1,1,2,225,26,28,308.593,24,0,1,2,2
0,0,0,1,1,3,184,42,27,308.593,21,0,0,0,2
0,0,0,1,1,3,225,26,28,308.593,24,0,1,2,2
0,0,0,1,1,4,225,26,28,308.593,24,0,1,2,1
0,0,0,1,1,0,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,1,225,26,28,308.593,24,0,1,2,2
0,0,0,1,1,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,2,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,3,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,4,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,0,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,1,118,10,37,308.593,28,0,0,0,2
0,0,1,0,1,1,179,26,30,308.593,19,1,0,0,8
0,0,1,0,1,1,289,36,33,308.593,30,0,2,1,8
0,0,0,1,1,2,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,3,184,42,27,308.593,21,0,0,0,2
0,0,0,1,1,3,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,0,118,10,37,308.593,28,0,0,0,0
0,0,0,1,1,1,225,26,28,308.593,24,0,1,2,1
0,0,0,1,1,3,289,36,33,308.593,30,0,2,1,3
0,0,0,1,2,4,184,42,27,302.585,21,0,0,0,1
1,0,0,0,2,2,246,25,41,302.585,23,0,0,0,8
1,0,0,0,2,2,179,51,38,302.585,31,0,0,0,8
0,0,0,1,2,3,155,12,34,302.585,25,0,2,0,2
0,0,0,1,2,3,189,29,33,302.585,25,0,2,2,8
0,0,0,1,2,4,260,50,36,302.585,23,0,4,0,2
0,0,0,1,2,4,289,36,33,302.585,30,0,2,1,8
1,0,0,0,2,0,388,15,50,302.585,24,0,0,0,8
1,0,0,0,2,1,388,15,50,302.585,24,0,0,0,8
0,0,0,1,2,0,225,26,28,302.585,24,0,1,2,2
0,0,0,1,2,1,225,26,28,302.585,24,0,1,2,2
0,0,0,1,2,1,179,26,30,302.585,19,1,0,0,1
0,0,0,1,2,1,184,42,27,302.585,21,0,0,0,8
0,0,0,1,2,3,225,26,28,302.585,24,0,1,2,3
0,0,1,0,2,0,330,16,28,302.585,25,1,0,0,8
0,0,0,1,2,1,330,16,28,302.585,25,1,0,0,1
0,0,0,1,2,2,225,26,28,302.585,24,0,1,2,1
0,0,1,0,2,3,189,29,33,302.585,25,0,2,2,8
0,0,0,1,3,1,291,50,32,343.253,23,0,0,0,2
0,0,1,0,3,1,260,50,36,343.253,23,0,4,0,8
0,0,1,0,3,1,157,27,29,343.253,22,0,0,0,3
0,1,0,0,3,1,179,22,40,343.253,22,1,2,0,8
0,0,0,1,3,2,291,31,40,343.253,25,0,1,1,8
1,0,0,0,3,2,260,50,36,343.253,23,0,4,0,8
1,0,0,0,3,3,179,26,30,343.253,19,1,0,0,8
1,0,0,0,3,4,248,25,47,343.253,32,0,2,1,3
1,0,0,0,3,4,260,50,36,343.253,23,0,4,0,40
1,0,0,0,3,0,179,22,40,343.253,22,1,2,0,40
1,0,0,0,3,0,155,12,34,343.253,25,0,2,0,16
0,0,0,1,3,0,260,50,36,343.253,23,0,4,0,16
1,0,0,0,3,1,155,12,34,343.253,25,0,2,0,8
1,0,0,0,3,3,289,36,33,343.253,30,0,2,1,8
1,0,0,0,3,3,179,22,40,343.253,22,1,2,0,8
0,0,0,1,3,4,260,50,36,343.253,23,0,4,0,4
0,0,0,1,3,4,225,26,28,343.253,24,0,1,2,1
1,0,0,0,3,0,279,5,39,343.253,24,0,2,0,8
1,0,0,0,3,1,179,51,38,343.253,31,0,0,0,24
0,0,0,1,3,2,225,26,28,343.253,24,0,1,2,2
1,0,0,0,3,0,225,26,28,343.253,24,0,1,2,8
1,0,0,0,3,0,179,26,30,343.253,19,1,0,0,1
1,0,0,0,3,1,225,26,28,343.253,24,0,1,2,8
1,0,0,0,3,2,225,26,28,343.253,24,0,1,2,16
1,0,0,0,3,2,179,51,38,343.253,31,0,0,0,3
1,0,0,0,3,3,279,5,39,343.253,24,0,2,0,16
0,0,0,1,3,4,225,26,28,343.253,24,0,1,2,2
1,0,0,0,3,4,248,25,47,343.253,32,0,2,1,3
0,0,0,1,3,0,225,26,28,343.253,24,0,1,2,1
0,0,0,1,4,2,291,31,40,326.452,25,0,1,1,1
0,0,0,1,4,2,225,26,28,326.452,24,0,1,2,1
0,0,0,1,4,1,155,12,34,326.452,25,0,2,0,1
1,0,0,0,4,2,246,25,41,326.452,23,0,0,0,24
0,0,0,1,4,3,155,12,34,326.452,25,0,2,0,1
0,0,0,1,4,4,225,26,28,326.452,24,0,1,2,2
0,0,0,1,4,4,260,50,36,326.452,23,0,4,0,4
1,0,0,0,4,2,179,51,38,326.452,31,0,0,0,24
0,0,0,1,4,3,118,13,50,326.452,31,0,1,0,1
0,0,0,1,4,4,291,31,40,326.452,25,0,1,1,3
1,0,0,0,4,4,246,25,41,326.452,23,0,0,0,8
0,0,0,1,4,4,291,31,40,326.452,25,0,1,1,1
0,0,0,1,4,4,248,25,47,326.452,32,0,2,1,8
0,0,1,0,4,4,260,50,36,326.452,23,0,4,0,56
0,0,1,0,4,1,289,36,33,326.452,30,0,2,1,8
1,0,0,0,4,2,155,12,34,326.452,25,0,2,0,24
0,0,1,0,4,2,378,49,36,326.452,21,0,2,4,8
1,0,0,0,4,3,289,36,33,326.452,30,0,2,1,16
1,0,0,0,4,4,235,11,37,326.452,29,1,1,1,3
0,0,0,0,4,0,235,29,48,326.452,33,0,1,5,0
1,0,0,0,5,2,289,36,33,378.884,30,0,2,1,8
0,0,0,1,5,3,155,12,34,378.884,25,0,2,0,2
0,0,0,1,5,0,155,12,34,378.884,25,0,2,0,1
0,0,1,0,5,1,179,51,38,378.884,31,0,0,0,8
0,0,1,0,5,1,225,26,28,378.884,24,0,1,2,8
1,0,0,0,5,2,184,42,27,378.884,21,0,0,0,4
0,0,0,1,5,0,155,12,34,378.884,25,0,2,0,2
1,0,0,0,5,1,179,51,38,378.884,31,0,0,0,1
1,0,0,0,5,2,289,36,33,378.884,30,0,2,1,24
0,0,0,0,5,2,279,5,39,378.884,24,0,2,0,0
0,0,0,0,5,2,330,16,28,378.884,25,1,0,0,0
0,0,0,0,5,2,378,49,36,378.884,21,0,2,4,0
0,0,0,0,5,2,388,15,50,378.884,24,0,0,0,0
1,0,0,0,5,1,179,51,38,378.884,31,0,0,0,1
1,0,0,0,5,2,118,13,50,378.884,31,0,1,0,24
0,0,0,1,5,4,361,52,28,378.884,27,0,1,4,8
0,0,1,0,6,0,246,25,41,377.55,23,0,0,0,8
0,0,0,1,6,0,361,52,28,377.55,27,0,1,4,8
1,0,0,0,6,1,246,25,41,377.55,23,0,0,0,24
0,0,0,1,6,3,291,31,40,377.55,25,0,1,1,4
1,0,0,0,6,4,246,25,41,377.55,23,0,0,0,8
1,0,0,0,6,0,179,51,38,377.55,31,0,0,0,8
0,0,0,1,6,0,155,12,34,377.55,25,0,2,0,4
1,0,0,0,6,0,246,25,41,377.55,23,0,0,0,8
1,0,0,0,6,2,118,13,50,377.55,31,0,1,0,8
1,0,0,0,6,4,235,11,37,377.55,29,1,1,1,16
0,0,0,1,6,1,118,13,50,377.55,31,0,1,0,1
1,0,0,0,6,2,118,13,50,377.55,31,0,1,0,80
0,0,0,1,6,3,378,49,36,377.55,21,0,2,4,8
1,0,0,0,6,4,179,51,38,377.55,31,0,0,0,2
0,0,0,1,6,0,289,48,49,377.55,36,0,0,2,2
0,0,0,1,6,3,225,26,28,377.55,24,0,1,2,2
0,0,1,0,7,1,155,12,34,275.312,25,0,2,0,16
1,0,0,0,7,2,118,13,50,275.312,31,0,1,0,8
1,0,0,0,7,4,118,10,37,275.312,28,0,0,0,8
0,0,0,1,7,4,118,10,37,275.312,28,0,0,0,4
0,0,0,1,7,1,330,16,28,275.312,25,1,0,0,8
0,0,1,0,7,3,179,26,30,275.312,19,1,0,0,8
0,0,0,1,7,4,155,12,34,275.312,25,0,2,0,2
1,0,0,0,7,0,330,16,28,275.312,25,1,0,0,8
1,0,0,0,7,1,330,16,28,275.312,25,1,0,0,8
0,0,0,1,7,0,157,27,29,275.312,22,0,0,0,3
0,0,0,1,7,1,361,52,28,275.312,27,0,1,4,8
0,0,0,1,7,2,289,36,33,275.312,30,0,2,1,8
0,0,0,1,7,3,179,51,38,275.312,31,0,0,0,8
0,0,1,0,7,0,289,36,33,275.312,30,0,2,1,32
0,0,1,0,7,3,289,36,33,275.312,30,0,2,1,8
0,0,0,0,7,3,260,50,36,275.312,23,0,4,0,0
0,0,1,0,8,3,289,36,33,265.615,30,0,2,1,8
0,0,1,0,8,3,157,27,29,265.615,22,0,0,0,3
0,0,0,1,8,6,289,36,33,265.615,30,0,2,1,1
0,0,1,0,8,0,228,14,58,265.615,22,0,2,1,8
1,0,0,0,8,2,300,26,43,265.615,25,0,2,1,1
1,0,0,0,8,2,300,26,43,265.615,25,0,2,1,2
0,0,0,1,8,3,260,50,36,265.615,23,0,4,0,4
0,0,0,1,8,0,289,36,33,265.615,30,0,2,1,4
0,0,0,1,8,1,248,25,47,265.615,32,0,2,1,1
1,0,0,0,8,2,268,11,33,265.615,25,1,0,0,8
0,0,0,1,8,2,179,26,30,265.615,19,1,0,0,1
1,0,0,0,8,2,118,13,50,265.615,31,0,1,0,3
0,0,0,1,8,6,248,25,47,265.615,32,0,2,1,2
0,0,0,1,8,0,235,11,37,265.615,29,1,1,1,1
0,0,0,1,8,2,118,13,50,265.615,31,0,1,0,1
0,0,1,0,8,2,235,11,37,265.615,29,1,1,1,8
1,0,0,0,8,0,361,52,28,265.615,27,0,1,4,8
1,0,0,0,8,1,184,42,27,265.615,21,0,0,0,8
1,0,0,0,9,0,179,51,38,294.217,31,0,0,0,8
0,0,0,1,9,4,179,51,38,294.217,31,0,0,0,3
0,0,1,0,9,2,289,36,33,294.217,30,0,2,1,24
0,0,0,0,9,3,235,20,43,294.217,38,0,1,0,0
1,0,0,0,9,0,246,25,41,294.217,23,0,0,0,16
0,0,0,1,9,1,291,31,40,294.217,25,0,1,1,3
0,0,0,0,9,1,231,35,39,294.217,35,0,2,2,0
0,0,0,0,9,1,291,50,32,294.217,23,0,0,0,0
1,0,0,0,9,2,179,51,38,294.217,31,0,0,0,8
1,0,0,0,9,2,246,25,41,294.217,23,0,0,0,32
0,0,0,1,9,3,179,51,38,294.217,31,0,0,0,1
0,0,0,1,9,4,291,31,40,294.217,25,0,1,1,4
0,0,0,1,9,4,260,50,36,294.217,23,0,4,0,4
0,0,0,1,9,2,235,20,43,294.217,38,0,1,0,8
0,0,0,1,9,3,118,13,50,294.217,31,0,1,0,1
0,0,0,0,9,3,235,20,43,294.217,38,0,1,0,0
0,0,0,1,9,4,291,31,40,294.217,25,0,1,1,3
1,0,0,0,9,0,291,31,40,294.217,25,0,1,1,40
1,0,0,0,9,0,179,51,38,294.217,31,0,0,0,8
0,0,0,1,10,2,289,36,33,265.017,30,0,2,1,8
0,0,0,1,10,2,235,11,37,265.017,29,1,1,1,4
0,0,0,1,10,2,289,36,33,265.017,30,0,2,1,8
0,0,0,1,10,3,289,36,33,265.017,30,0,2,1,8
0,0,0,0,10,3,118,13,50,265.017,31,0,1,0,0
0,0,0,0,10,3,248,25,47,265.017,32,0,2,1,0
1,0,0,0,10,2,179,26,30,265.017,19,1,0,0,8
1,0,0,0,10,2,118,10,37,265.017,28,0,0,0,3
0,0,0,1,10,2,369,17,31,265.017,25,0,3,0,8
0,0,0,1,10,4,179,51,38,265.017,31,0,0,0,1
1,0,0,0,10,4,179,26,30,265.017,19,1,0,0,64
0,0,0,0,10,4,235,20,43,265.017,38,0,1,0,0
0,0,1,0,10,5,289,36,33,265.017,30,0,2,1,16
0,0,0,1,10,6,260,50,36,265.017,23,0,4,0,3
0,0,0,0,10,6,235,20,43,265.017,38,0,1,0,0
0,0,0,1,10,2,235,20,43,265.017,38,0,1,0,2
0,0,0,1,10,2,235,20,43,265.017,38,0,1,0,2
0,0,0,1,10,3,118,13,50,265.017,31,0,1,0,1
0,0,0,1,10,3,291,31,40,265.017,25,0,1,1,4
0,0,0,1,10,5,179,26,30,265.017,19,1,0,0,16
0,0,0,1,10,5,118,13,50,265.017,31,0,1,0,1
1,0,0,0,10,2,361,52,28,265.017,27,0,1,4,8
0,0,0,0,10,3,260,50,36,265.017,23,0,4,0,0
0,0,0,0,10,3,291,31,40,265.017,25,0,1,1,0
0,0,0,0,10,3,157,27,29,265.017,22,0,0,0,0
1,0,0,0,10,4,179,26,30,265.017,19,1,0,0,5
1,0,0,0,10,4,179,26,30,265.017,19,1,0,0,5
0,0,0,1,10,5,118,13,50,265.017,31,0,1,0,1
1,0,0,0,11,0,118,10,37,284.031,28,0,0,0,8
0,0,0,1,11,0,248,25,47,284.031,32,0,2,1,2
1,0,0,0,11,1,179,51,38,284.031,31,0,0,0,8
0,0,0,1,11,4,260,50,36,284.031,23,0,4,0,3
0,0,0,1,11,0,291,31,40,284.031,25,0,1,1,1
1,0,0,0,11,0,378,49,36,284.031,21,0,2,4,8
1,0,0,0,11,0,155,12,34,284.031,25,0,2,0,120
0,0,0,1,11,0,235,20,43,284.031,38,0,1,0,8
0,0,0,0,11,1,330,16,28,284.031,25,1,0,0,0
0,0,1,0,11,2,235,11,37,284.031,29,1,1,1,1
1,0,0,0,11,2,118,10,37,284.031,28,0,0,0,3
0,0,0,1,11,3,235,11,37,284.031,29,1,1,1,2
0,0,0,1,11,3,179,51,38,284.031,31,0,0,0,3
1,0,0,0,11,4,246,25,41,284.031,23,0,0,0,8
1,0,0,0,11,4,291,31,40,284.031,25,0,1,1,4
1,0,0,0,11,0,246,25,41,284.031,23,0,0,0,8
0,0,0,1,11,1,179,51,38,284.031,31,0,0,0,1
1,0,0,0,11,2,260,50,36,284.031,23,0,4,0,8
0,1,0,0,11,4,260,50,36,284.031,23,0,4,0,8
0,0,0,0,11,4,378,49,36,284.031,21,0,2,4,0
0,0,0,0,11,1,279,5,39,284.031,24,0,2,0,0
0,0,0,1,11,3,179,51,38,284.031,31,0,0,0,1
1,0,0,0,12,0,225,26,28,236.629,24,0,1,2,3
0,0,0,1,12,0,179,51,38,236.629,31,0,0,0,2
0,0,0,1,12,0,179,51,38,236.629,31,0,0,0,1
0,0,0,1,12,0,235,11,37,236.629,29,1,1,1,3
0,0,0,1,12,1,118,13,50,236.629,31,0,1,0,1
0,0,0,1,12,4,260,50,36,236.629,23,0,4,0,4
1,0,0,0,12,3,246,25,41,236.629,23,0,0,0,8
0,0,0,1,12,3,179,51,38,236.629,31,0,0,0,1
