ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,0,0,67,2,124670,1,2
100000002,1,1,22,1,150773,1,2
100000003,0,0,49,1,89210,0,0
100000004,0,0,45,1,171565,1,1
100000005,0,0,53,1,149031,1,1
100000006,0,0,35,1,144848,0,0
100000007,0,0,53,1,156495,1,1
100000008,0,0,35,1,193621,2,1
100000009,0,1,61,2,151591,0,0
100000010,0,1,28,1,174646,2,0
100000011,1,1,25,1,108469,1,0
100000012,1,1,24,1,127596,1,0
100000013,1,1,22,1,108687,1,2
100000014,0,0,60,2,89374,0,0
100000015,1,1,28,1,102899,1,1
100000016,1,1,32,1,88428,0,0
100000017,0,0,53,1,125550,1,0
100000018,0,0,25,0,157434,1,2
100000019,1,1,44,2,261952,2,2
100000020,0,0,31,0,144657,1,1
100000021,0,0,48,1,118777,1,1
100000022,0,0,44,1,147511,1,1
100000023,0,0,48,1,89804,0,0
100000024,0,0,44,1,134918,1,2
100000025,0,1,26,1,103667,1,2
100000026,0,0,36,1,71909,0,0
100000027,0,1,39,1,68264,0,0
100000028,1,1,42,2,163025,1,1
100000029,0,0,34,1,119307,1,1
100000030,0,0,63,2,175882,1,0
100000031,0,1,36,1,159646,1,1
100000032,0,0,27,0,120131,1,1
100000033,0,0,30,0,162745,1,2
100000034,0,0,57,2,87605,0,0
100000035,1,1,33,1,155569,2,1
100000036,0,0,25,0,104505,0,0
100000037,0,0,31,0,143385,1,2
100000038,0,0,37,1,127676,1,1
100000039,0,0,37,1,119276,1,1
100000040,0,0,24,0,92542,1,1
100000041,0,0,30,0,163329,2,1
100000042,0,1,26,1,130921,1,0
100000043,0,0,44,1,133658,0,0
100000044,0,1,24,1,155104,1,1
100000045,1,1,58,2,142335,0,1
100000046,1,1,35,1,138387,2,1
100000047,0,0,39,1,140182,1,0
100000048,1,1,23,1,65421,0,0
100000049,0,0,39,1,130500,0,0
100000050,1,1,28,1,122831,1,0
100000051,0,0,29,0,84531,0,0
100000052,0,0,30,0,180196,2,2
100000053,0,0,25,0,92058,1,2
100000054,0,0,31,0,117158,1,0
100000055,0,0,57,2,135830,1,1
100000056,0,0,26,0,58258,0,0
100000057,0,0,52,1,202575,2,2
100000058,1,1,31,1,183657,1,1
100000059,1,1,23,1,152267,2,1
100000060,1,1,23,1,115240,0,0
100000061,0,1,27,1,106955,1,2
100000062,0,0,50,1,123641,1,1
100000063,0,0,61,2,166410,2,1
100000064,0,0,25,0,227385,1,2
100000065,1,1,26,1,118372,1,1
100000066,0,0,48,1,148115,1,1
100000067,1,1,29,1,111069,1,0
100000068,0,1,22,1,139780,1,0
100000069,0,0,37,1,106978,1,2
100000070,1,1,25,1,110019,1,2
100000071,1,1,30,1,169102,1,1
100000072,0,0,46,1,73703,0,0
100000073,0,0,51,1,141858,2,2
100000074,1,1,41,2,135959,0,0
100000075,0,0,40,1,140888,2,2
100000076,0,0,66,2,157299,2,2
100000077,0,0,34,1,125187,1,1
100000078,0,0,51,1,155486,1,2
100000079,0,0,39,1,151697,0,0
100000080,0,1,22,1,126400,1,1
100000081,1,1,44,2,159246,1,2
100000082,0,0,47,1,136138,1,1
100000083,1,1,24,1,84792,0,0
100000084,1,1,58,2,100210,0,0
100000085,0,0,52,1,93706,0,0
100000086,1,1,29,1,133783,2,1
100000087,1,1,27,1,110064,1,2
100000088,0,0,47,1,241068,1,1
100000089,0,0,30,0,149022,2,2
100000090,0,0,28,0,92973,1,2
100000091,0,0,56,1,110605,1,1
100000092,0,0,54,1,116604,1,1
100000093,1,1,33,1,71070,0,0
100000094,0,0,20,0,128678,1,1
100000095,0,0,54,1,165230,1,2
100000096,0,0,58,2,268340,1,1
100000097,1,1,61,2,135070,1,1
100000098,0,0,34,1,134794,1,2
100000099,0,0,36,1,120153,1,1
100000100,0,0,36,1,195465,2,2
100000101,0,1,41,1,93372,0,0
100000102,0,0,24,0,110446,1,0
100000103,1,1,24,1,95186,1,1
100000104,0,0,35,1,115343,1,1
100000105,0,1,26,1,107276,1,1
100000106,0,0,39,1,244716,2,2
100000107,0,0,39,1,183108,2,2
100000108,0,0,32,0,152876,1,2
100000109,1,1,30,1,165147,1,0
100000110,0,1,35,1,140520,1,0
100000111,0,1,31,1,124203,1,1
100000112,1,1,23,1,107205,1,1
100000113,0,0,28,0,121432,0,2
100000114,1,1,25,1,162445,1,0
100000115,0,1,35,1,134112,1,1
100000116,0,0,47,1,131842,1,1
100000117,1,1,30,1,189896,2,0
100000118,1,1,27,1,109099,1,2
100000119,1,1,23,1,153539,1,1
100000120,0,1,36,1,180495,2,1
100000121,1,1,25,1,104653,1,2
100000122,1,1,41,2,166933,2,2
100000123,0,0,24,0,66118,0,0
100000124,0,0,63,2,135754,1,0
100000125,1,1,27,1,116103,1,2
100000126,0,0,30,0,104293,1,1
100000127,0,1,40,1,71702,0,0
100000128,0,0,30,0,99066,1,2
100000129,0,0,34,1,143979,2,2
100000130,1,1,29,1,123818,1,0
100000131,1,1,24,1,176714,1,2
100000132,0,0,29,0,149249,1,2
100000133,0,0,27,0,77535,0,0
100000134,0,0,47,1,116540,1,1
100000135,1,1,21,1,194728,1,0
100000136,1,1,38,1,109311,1,2
100000137,0,0,27,0,204723,1,2
100000138,0,0,66,2,126003,0,0
100000139,0,0,35,1,123109,1,1
100000140,1,1,44,2,108251,0,0
100000141,0,1,27,1,89908,0,0
100000142,1,1,30,1,176057,2,1
100000143,0,0,27,0,144332,2,2
100000144,0,0,22,0,101185,1,1
100000145,1,1,23,1,107406,1,2
100000146,0,0,30,0,140665,1,1
100000147,1,1,39,2,106461,1,0
100000148,1,1,51,2,127825,1,0
100000149,0,0,28,0,133898,1,1
100000150,0,0,46,1,152383,1,2
100000151,0,0,42,1,119926,1,0
100000152,0,0,38,1,108784,1,2
100000153,0,0,24,0,153286,1,1
100000154,1,1,29,1,214204,1,2
100000155,0,0,36,1,208101,2,2
100000156,1,1,20,1,95355,1,1
100000157,0,0,48,1,124156,1,1
100000158,0,1,45,2,72215,0,0
100000159,0,0,38,1,146529,1,2
100000160,0,0,34,1,75343,0,0
100000161,0,0,36,1,129789,1,1
100000162,1,1,30,1,101153,1,1
100000163,0,0,36,1,127833,1,2
100000164,0,0,70,2,224998,2,2
100000165,0,0,36,1,124445,1,2
100000166,0,0,32,0,141116,1,1
100000167,1,1,33,1,104276,1,2
100000168,1,1,20,1,147687,1,2
100000169,1,1,25,1,125168,1,1
100000170,0,1,31,1,115369,1,2
100000171,0,0,33,1,95445,1,0
100000172,1,1,26,1,95159,1,1
100000173,1,1,34,1,153031,2,2
100000174,0,0,33,1,108899,1,0
100000175,0,0,26,0,113515,1,1
100000176,1,1,53,2,211229,2,0
100000177,0,1,42,2,121307,1,0
100000178,0,0,52,1,131727,1,2
100000179,0,0,31,0,133574,2,1
100000180,0,0,65,2,117334,1,0
100000181,0,1,28,1,177291,1,2
100000182,0,1,30,1,168763,2,1
100000183,0,0,40,1,77720,0,0
100000184,0,0,50,1,176645,1,2
100000185,0,0,36,1,106205,1,1
100000186,0,0,31,0,97785,1,1
100000187,1,1,74,3,214364,2,1
100000188,0,0,68,2,74525,0,0
100000189,0,1,20,1,98988,1,0
100000190,1,1,33,1,133561,1,1
100000191,0,0,54,1,217651,2,2
100000192,0,0,34,1,116525,0,0
100000193,0,0,36,1,135302,1,2
100000194,0,1,29,1,106434,1,1
100000195,0,0,21,0,128350,1,2
100000196,1,1,34,1,147626,2,2
100000197,1,1,28,1,102697,1,0
100000198,1,1,27,1,120262,1,0
100000199,0,0,36,1,124214,1,2
100000200,0,1,40,1,175223,2,1
100000201,0,0,52,1,137467,1,0
100000202,0,1,27,1,65815,0,0
100000203,0,0,26,0,129864,1,1
100000204,0,1,21,1,88475,1,1
100000205,0,0,38,1,74666,0,0
100000206,0,0,38,1,222294,2,2
100000207,0,0,43,1,112878,1,0
100000208,0,0,26,0,103411,1,2
100000209,0,1,21,1,112868,0,0
100000210,0,0,55,1,157940,1,2
100000211,0,0,33,1,115835,1,2
100000212,1,1,45,2,109807,0,0
100000213,0,0,50,1,150699,1,1
100000214,0,0,66,2,178967,2,0
100000215,0,0,51,1,132767,1,0
100000216,1,1,39,2,86152,0,0
100000217,0,0,31,0,114528,1,2
100000218,0,0,23,0,133912,1,1
100000219,0,1,24,1,81210,0,0
100000220,1,1,64,3,131242,1,0
100000221,0,1,26,1,68804,0,0
100000222,1,1,23,1,96961,1,1
100000223,0,0,30,0,90719,1,2
100000224,0,0,32,0,114116,1,1
100000225,0,0,30,0,128639,1,1
100000226,0,0,27,0,106623,1,1
100000227,0,0,27,0,236264,1,1
100000228,0,0,53,1,207783,2,1
100000229,0,0,22,0,91739,1,1
100000230,0,0,22,0,107780,1,2
100000231,0,0,26,0,139157,1,2
100000232,0,0,51,1,121751,0,0
100000233,0,0,35,1,121974,1,0
100000234,0,1,25,1,70320,0,0
100000235,0,0,42,1,78327,0,0
100000236,0,0,30,0,131433,2,0
100000237,0,0,23,0,167076,0,2
100000238,0,1,61,2,130788,0,0
100000239,1,1,35,1,107408,1,1
100000240,0,0,39,1,115323,1,1
100000241,1,1,29,1,99012,1,0
100000242,0,0,51,1,115996,1,1
100000243,0,0,24,0,123353,1,1
100000244,1,1,27,1,100008,1,0
100000245,1,1,35,1,125105,0,0
100000246,0,0,25,0,92020,1,2
100000247,0,0,52,1,108365,1,2
100000248,0,0,35,1,112979,1,0
100000249,0,0,26,0,117221,1,1
100000250,1,1,22,1,88800,1,2
100000251,1,1,39,2,115099,0,0
100000252,1,1,46,2,113399,0,0
100000253,1,1,24,1,115879,1,1
100000254,0,0,35,1,141270,1,2
100000255,0,0,24,0,107633,1,1
100000256,0,0,27,0,131751,0,0
100000257,0,0,35,1,83687,0,0
100000258,0,1,29,1,106828,1,2
100000259,1,1,23,1,135537,1,1
100000260,1,1,57,2,107142,0,0
100000261,0,0,27,0,97446,1,1
100000262,1,1,55,2,126357,1,2
100000263,0,0,36,1,169617,2,1
100000264,1,1,57,2,108945,0,0
100000265,0,0,32,0,67345,0,0
100000266,0,0,37,1,106215,1,0
100000267,0,0,36,1,149237,1,0
100000268,1,1,38,1,112124,1,0
100000269,0,1,45,2,215150,2,2
100000270,0,0,25,0,89534,1,1
100000271,0,0,32,0,111082,1,2
100000272,1,1,37,1,137069,1,1
100000273,0,0,36,1,244541,2,2
100000274,0,0,28,0,120712,1,1
100000275,0,1,34,1,175367,0,0
100000276,0,0,32,0,111418,1,1
100000277,1,1,26,1,110913,1,0
100000278,0,1,49,2,84267,0,0
100000279,1,1,32,1,136886,1,2
100000280,0,0,29,0,144884,2,2
100000281,0,0,23,0,151180,1,1
100000282,0,0,50,1,114997,1,1
100000283,0,0,49,1,100961,0,0
100000284,0,0,63,2,124849,1,2
100000285,0,1,37,1,152308,1,2
100000286,1,1,35,1,167945,0,1
100000287,0,0,26,0,126706,1,2
100000288,0,0,31,0,210017,2,2
100000289,1,1,49,2,125665,1,1
100000290,0,1,48,2,111184,1,1
100000291,0,1,26,1,94134,1,0
100000292,0,1,28,1,214620,2,1
100000293,1,1,44,2,193816,2,1
100000294,0,0,56,1,168714,1,1
100000295,0,1,46,2,202997,2,1
100000296,1,1,26,1,192451,1,2
100000297,1,1,20,1,127928,1,2
100000298,0,0,45,1,78253,0,0
100000299,0,0,43,1,118446,1,1
100000300,0,0,32,0,161379,1,2
100000301,1,1,54,2,56622,0,0
100000302,1,1,42,2,146117,1,1
100000303,0,0,37,1,90418,0,0
100000304,0,0,49,1,109053,1,0
100000305,0,0,44,1,219319,1,0
100000306,0,1,33,1,144701,1,1
100000307,1,1,24,1,102425,0,0
100000308,0,1,33,1,79867,0,0
100000309,1,1,24,1,107114,1,2
100000310,0,1,22,1,62263,0,0
100000311,0,0,40,1,92567,0,0
100000312,0,0,25,0,146349,1,0
100000313,1,1,26,1,141825,1,1
100000314,0,1,25,1,68582,0,0
100000315,0,0,29,0,85476,0,0
100000316,0,0,31,0,111091,1,2
100000317,0,0,38,1,67110,0,0
100000318,1,1,48,2,126154,0,0
100000319,0,0,32,0,92257,1,2
100000320,1,1,27,1,93605,0,0
100000321,0,1,28,1,165190,2,0
100000322,0,1,32,1,107195,1,0
100000323,0,0,34,1,145059,2,0
100000324,0,0,28,0,148363,1,0
100000325,1,1,36,1,105681,1,2
100000326,0,0,39,1,93732,0,0
100000327,0,0,49,1,154778,1,2
100000328,1,1,34,1,149356,1,2
100000329,0,0,31,0,145670,1,1
100000330,0,0,28,0,101589,1,2
100000331,0,0,75,2,213333,2,1
100000332,1,1,30,1,122420,1,0
100000333,1,1,24,1,209856,2,1
100000334,1,1,24,1,181003,0,0
100000335,0,0,23,0,117804,1,1
100000336,0,1,44,2,160650,2,1
100000337,1,1,23,1,84611,0,0
100000338,1,1,24,1,98479,1,2
100000339,0,0,28,0,122359,1,2
100000340,0,1,31,1,81394,0,0
100000341,1,1,24,1,150372,1,1
100000342,1,1,26,1,92385,0,0
100000343,0,1,25,1,149851,1,2
100000344,0,0,33,1,167939,2,1
100000345,0,0,37,1,115426,0,0
100000346,1,1,43,2,85402,0,0
100000347,0,0,23,0,95815,1,2
100000348,1,1,23,1,97518,0,0
100000349,0,0,34,1,87355,0,0
100000350,0,0,32,0,145933,1,1
100000351,1,1,23,1,97307,1,0
100000352,1,1,29,1,108434,1,2
100000353,0,0,38,1,151312,2,1
100000354,0,0,28,0,141847,1,1
100000355,0,0,46,1,130675,1,2
100000356,0,0,23,0,69309,0,0
100000357,0,0,49,1,121466,1,2
100000358,0,0,26,0,153586,2,2
100000359,0,1,28,1,92849,1,0
100000360,1,1,23,1,108539,1,2
100000361,0,0,61,2,129556,1,2
100000362,0,0,37,1,170146,2,0
100000363,1,1,36,1,135383,1,1
100000364,0,1,21,1,96769,1,2
100000365,0,0,25,0,43684,0,0
100000366,0,0,36,1,103521,1,0
100000367,0,0,27,0,118499,1,1
100000368,1,1,22,1,119684,1,2
100000369,0,0,42,1,126586,1,1
100000370,1,1,40,2,136812,1,2
100000371,0,0,36,1,118277,1,1
100000372,0,0,33,1,144597,1,1
100000373,1,1,23,1,106043,1,0
100000374,0,0,63,2,272314,2,2
100000375,1,1,60,2,309364,2,2
100000376,1,1,37,1,170386,1,1
100000377,0,1,34,1,112458,1,0
100000378,0,0,36,1,96840,1,1
100000379,0,0,57,2,281923,2,1
100000380,1,1,52,2,95551,0,0
100000381,0,0,39,1,112347,1,2
100000382,1,1,38,1,260977,2,2
100000383,1,1,25,1,99354,1,0
100000384,0,0,26,0,111509,1,2
100000385,0,0,26,0,105252,0,0
100000386,1,1,25,1,108522,1,0
100000387,1,1,21,1,94655,1,1
100000388,0,0,40,1,201699,2,1
100000389,0,0,27,0,139868,1,2
100000390,1,1,27,1,102543,1,1
100000391,0,1,30,1,134467,2,2
100000392,1,1,19,1,111187,0,0
100000393,0,0,39,1,152302,2,1
100000394,1,1,31,1,110610,1,2
100000395,0,0,31,0,137827,2,2
100000396,0,0,32,0,220923,1,2
100000397,1,1,55,2,165717,2,2
100000398,0,1,46,2,122299,1,0
100000399,0,1,46,2,120499,1,0
100000400,1,1,43,2,126449,0,0
100000401,0,1,39,1,108315,1,2
100000402,0,1,28,1,112515,1,1
100000403,0,0,27,0,164559,1,1
100000404,0,0,27,0,59238,0,0
100000405,0,0,43,1,131133,1,0
100000406,0,1,22,1,109188,1,0
100000407,0,0,43,1,115393,1,1
100000408,0,1,27,1,94711,1,2
100000409,0,1,26,1,171860,2,0
100000410,0,1,28,1,139414,1,2
100000411,1,1,20,1,110931,1,1
100000412,0,0,35,1,187549,2,2
100000413,0,0,42,1,145508,2,0
100000414,0,0,40,1,104240,0,0
100000415,1,1,35,1,108272,1,1
100000416,0,0,35,1,144004,1,2
100000417,0,0,33,1,81083,0,0
100000418,1,1,23,1,166763,1,1
100000419,1,1,31,1,175530,2,1
100000420,1,1,33,1,112422,1,1
100000421,1,1,20,1,154134,1,2
100000422,0,0,30,0,112401,1,1
100000423,0,0,47,1,85690,0,0
100000424,0,0,34,1,145896,2,2
100000425,1,1,25,1,122552,1,2
100000426,0,1,21,1,115494,1,2
100000427,0,0,29,0,109467,1,0
100000428,0,0,46,1,148226,1,2
100000429,0,0,20,0,88559,1,1
100000430,1,1,55,2,62393,0,0
100000431,0,0,74,2,122133,0,0
100000432,0,0,29,0,230883,2,2
100000433,0,0,36,1,136689,2,2
100000434,0,1,33,1,109145,1,0
100000435,0,0,25,0,100449,1,2
100000436,0,1,25,1,106253,1,0
100000437,0,1,23,1,84747,0,0
100000438,1,1,37,1,149465,1,1
100000439,0,0,65,2,84435,0,0
100000440,1,1,26,1,51681,0,0
100000441,0,0,39,1,139198,2,1
100000442,1,1,30,1,106577,1,1
100000443,0,0,29,0,117372,1,2
100000444,0,0,41,1,69609,0,0
100000445,1,1,30,1,178947,2,2
100000446,1,1,41,2,81743,0,0
100000447,1,1,34,1,111900,1,1
100000448,0,0,35,1,121650,1,0
100000449,1,1,55,2,172639,2,2
100000450,0,1,61,2,175740,1,1
100000451,0,0,30,0,220050,2,2
100000452,1,1,29,1,95200,1,1
100000453,0,0,34,1,113609,1,1
100000454,0,0,35,1,143552,2,2
100000455,0,0,31,0,130973,1,2
100000456,1,1,29,1,145946,2,2
100000457,0,0,36,1,126206,1,1
100000458,0,0,35,1,120426,1,0
100000459,1,1,27,1,91925,1,2
100000460,0,0,32,0,129630,1,2
100000461,0,0,37,1,124268,1,2
100000462,0,0,36,1,105240,1,1
100000463,1,1,34,1,162180,2,0
100000464,0,0,38,1,106552,1,2
100000465,0,0,34,1,105843,1,2
100000466,0,0,63,2,138327,1,1
100000467,1,1,29,1,76154,0,0
100000468,0,0,32,0,155012,1,1
100000469,1,1,26,1,114369,1,1
100000470,0,0,35,1,102839,0,0
100000471,0,1,22,1,132796,1,0
100000472,1,1,23,1,89742,1,2
100000473,0,0,28,0,58615,0,0
100000474,0,0,36,1,130603,2,2
100000475,0,1,33,1,110340,1,0
100000476,1,1,26,1,117729,1,2
100000477,0,0,24,0,130808,1,0
100000478,0,0,25,0,147402,1,2
100000479,0,0,39,1,93567,0,0
100000480,0,0,44,1,109289,1,1
100000481,1,1,23,1,98742,0,0
100000482,0,0,26,0,101270,1,0
100000483,1,1,57,2,187835,1,1
100000484,1,1,30,1,140741,1,0
100000485,0,0,44,1,133265,1,2
100000486,0,0,47,1,148100,2,2
100000487,0,0,52,1,131021,1,2
100000488,1,1,62,2,152620,1,2
100000489,0,0,35,1,85033,0,0
100000490,0,0,26,0,114514,1,1
100000491,0,0,26,0,99307,1,1
100000492,1,1,42,2,219451,2,2
100000493,1,1,27,1,114007,1,0
100000494,0,0,38,1,102846,1,0
100000495,0,0,39,1,81483,0,0
100000496,0,1,20,1,107779,1,2
100000497,0,0,29,0,222360,2,2
100000498,0,0,40,1,107125,1,0
100000499,0,1,32,1,80080,0,0
100000500,0,1,28,1,129600,1,0
100000501,1,1,27,1,118613,1,1
100000502,0,0,42,1,146237,1,1
100000503,0,1,49,2,144461,1,2
100000504,0,0,38,1,124487,1,0
100000505,1,1,24,1,97826,1,0
100000506,0,0,27,0,64105,0,0
100000507,0,0,36,1,156374,1,2
100000508,0,0,34,1,205383,2,2
100000509,0,1,28,1,98964,1,2
100000510,0,0,45,1,221842,2,2
100000511,0,0,26,0,88027,1,2
100000512,0,0,32,0,160513,2,2
100000513,0,0,26,0,124536,1,2
100000514,0,1,20,1,93634,1,0
100000515,0,0,54,1,124725,1,0
100000516,1,1,37,1,102456,1,0
100000517,0,0,40,1,74975,0,0
100000518,1,1,23,1,153861,1,1
100000519,0,0,43,1,119351,1,2
100000520,0,0,36,1,95438,1,2
100000521,0,0,44,1,147967,1,2
100000522,1,1,24,1,116863,1,1
100000523,0,0,53,1,170622,1,1
100000524,1,1,23,1,132426,1,1
100000525,1,1,26,1,77519,0,0
100000526,0,0,30,0,169405,1,2
100000527,1,1,31,1,120030,1,0
100000528,0,0,42,1,77933,0,0
100000529,0,1,31,1,109892,1,1
100000530,0,0,41,1,69062,0,0
100000531,0,0,32,0,116348,1,0
100000532,1,1,28,1,137188,1,1
100000533,0,1,41,1,110199,1,0
100000534,0,1,26,1,109890,1,1
100000535,0,0,25,0,109751,1,2
100000536,0,1,33,1,129651,1,1
100000537,1,1,75,3,170113,2,1
100000538,1,1,37,1,140285,1,1
100000539,0,0,42,1,198029,2,2
100000540,1,1,45,2,120262,0,0
100000541,0,1,23,1,105137,1,1
100000542,0,0,60,2,127371,1,0
100000543,0,0,31,0,145689,1,0
100000544,0,0,34,1,102617,0,1
100000545,0,0,61,2,90709,0,0
100000546,0,0,43,1,107099,1,1
100000547,1,1,37,1,116021,1,2
100000548,0,0,32,0,100426,1,2
100000549,1,1,24,1,62249,0,0
100000550,0,0,35,1,172957,1,1
100000551,1,1,23,1,95003,1,1
100000552,0,0,45,1,109698,0,0
100000553,0,1,34,1,157376,1,0
100000554,0,0,27,0,123191,1,2
100000555,1,1,67,3,171052,2,0
100000556,0,0,22,0,99328,1,0
100000557,1,1,28,1,133799,1,2
100000558,1,1,29,1,138256,1,2
100000559,0,0,27,0,115638,1,0
100000560,0,0,31,0,82238,0,0
100000561,0,0,49,1,127543,1,1
100000562,0,0,24,0,63987,0,0
100000563,1,1,29,1,114784,1,0
100000564,0,0,37,1,217450,1,1
100000565,0,0,37,1,173751,2,2
100000566,1,1,23,1,122850,1,0
100000567,0,1,36,1,104953,1,0
100000568,0,0,34,1,152371,1,1
100000569,0,0,41,1,139905,1,0
100000570,1,1,31,1,156700,1,1
100000571,1,1,23,1,86488,0,0
100000572,0,0,38,1,147472,1,0
100000573,1,1,26,1,169991,2,0
100000574,1,1,22,1,62381,0,0
100000575,0,0,27,0,70926,0,0
100000576,1,1,24,1,113004,1,1
100000577,1,1,27,1,125760,1,0
100000578,1,1,33,1,111918,1,2
100000579,0,1,27,1,120674,1,1
100000580,0,1,27,1,63597,0,0
100000581,0,0,30,0,103069,1,1
100000582,0,0,49,1,108079,0,0
100000583,1,1,26,1,101159,1,1
100000584,0,0,33,1,88211,0,0
100000585,1,1,52,2,159052,2,1
100000586,1,1,20,1,102623,1,2
100000587,0,0,36,1,115589,1,0
100000588,0,0,21,0,59127,0,0
100000589,0,1,47,2,82240,0,0
100000590,0,0,60,2,129425,1,1
100000591,1,1,58,2,87058,0,0
100000592,1,1,42,2,128462,1,2
100000593,1,1,36,1,121403,0,0
100000594,1,1,20,1,88141,0,0
100000595,0,0,40,1,134946,2,2
100000596,1,1,32,1,94058,0,0
100000597,1,1,23,1,99285,1,1
100000598,0,0,36,1,108432,0,0
100000599,0,0,31,0,111369,1,0
100000600,0,0,32,0,122612,1,2
100000601,1,1,45,2,134350,1,0
100000602,1,1,30,1,108838,1,2
100000603,1,1,34,1,90852,0,0
100000604,1,1,28,1,151580,2,2
100000605,1,1,23,1,115681,1,1
100000606,0,0,22,0,131699,1,1
100000607,0,0,74,2,192481,2,1
100000608,1,1,50,2,155122,1,2
100000609,0,0,33,1,106015,1,2
100000610,0,0,45,1,108378,1,0
100000611,1,1,22,1,105257,1,1
100000612,1,1,48,2,118788,0,0
100000613,1,1,29,1,162955,1,2
100000614,1,1,22,1,119511,1,2
100000615,1,1,22,1,102000,1,0
100000616,0,0,48,1,254449,2,1
100000617,0,0,27,0,208446,2,2
100000618,0,0,37,1,124805,1,0
100000619,1,1,21,1,139379,1,0
100000620,0,1,49,2,78296,0,0
100000621,0,0,27,0,125598,1,1
100000622,0,0,32,0,100215,1,2
100000623,0,1,38,1,130951,1,2
100000624,1,1,22,1,102480,1,2
100000625,0,0,65,2,136812,1,1
100000626,0,0,35,1,106919,1,1
100000627,0,0,41,1,131020,1,2
100000628,0,0,29,0,119429,1,1
100000629,0,0,36,1,154521,1,1
100000630,0,0,64,2,117842,0,0
100000631,1,1,28,1,124566,1,2
100000632,0,0,44,1,110009,1,2
100000633,0,0,23,0,101210,1,1
100000634,1,1,19,1,101258,1,0
100000635,1,1,25,1,79045,0,0
100000636,0,0,47,1,110866,1,0
100000637,1,1,28,1,129640,1,2
100000638,0,0,21,0,227021,1,1
100000639,1,1,34,1,108549,1,1
100000640,0,0,26,0,122693,1,0
100000641,1,1,27,1,35832,0,0
100000642,0,0,38,1,81870,0,0
100000643,0,0,40,1,179790,2,2
100000644,0,1,33,1,107158,1,1
100000645,0,1,32,1,136638,2,1
100000646,0,0,27,0,158147,1,2
100000647,0,1,32,1,132587,1,2
100000648,1,1,26,1,128140,1,2
100000649,0,0,38,1,117405,1,1
100000650,0,0,40,1,68475,0,0
100000651,0,0,50,1,201656,2,2
100000652,0,0,37,1,86967,0,0
100000653,0,0,45,1,118006,1,1
100000654,0,0,42,1,223630,2,2
100000655,0,0,35,1,110442,1,0
100000656,0,0,22,0,115691,1,2
100000657,0,0,41,1,80232,0,0
100000658,0,0,37,1,187647,1,1
100000659,1,1,28,1,138952,1,1
100000660,0,0,41,1,162772,1,2
100000661,0,1,23,1,111862,1,1
100000662,0,1,23,1,90051,1,1
100000663,0,0,50,1,121400,1,1
